Bundesland,Ladenname,Name Besitzer,Ort,Besonderes,Webseite,OnlineShop,FaceBook,Instagram
Bayern,Tante Emmer – unverpackt,Carola Böhm,"Grabengasse 23, Passau","Der Unverpackt-Laden im Herzen der Passauer Altstadt bietet neben Lebensmitteln für den täglichen Bedarf (frisches Obst und Gemüse, Brot, Milchprodukte) ein gut ausgewähltes Sortiment an unverpackten Lebensmitteln an – fast alles bio und wenn möglich regional! Außerdem gibt’s Hygieneprodukte und Kosmetikartikel – natürlich auch unverpackt.",['tante-emmer.com'],,,
Bayern,Füllgut – Die Mehrwegerei,"Die Französin Nathalie, Manuela, Vera, die seit Jahren versucht verpackungsfrei zu leben und Kulturliebhaber Markus","Obere Bachgasse 18, Regensburg",Regelmäßige Workshops und Seminare zum Thema Nachhaltigkeit.,www.füllgut-regensburg.de,,,
Bayern,Nimm’s Lose,Christian Stibane und seiner Frau,"Gillitzerstraße 4, Rosenheim","Eine ökologische, regional-bezogene Alternative zum klassischen Supermarkt.",['www.nimmslose.bio'],,,
Bayern,Klare Kante,André Wieland,"Hauptstraße 22, Weißenhorn",Neben dem Laden in Weißenhorn soll in 2019 auch ein Laden im nahen Ulm eröffnen.,['klarekanteunverpackt.de'],,,
Bayern,Würzburg Unverpackt,Susanne Waldmann,"Sanderstraße 5, Würzburg",Der erste Verpackungfreie Supermarkt in Würzburg.,['www.wuerzburg-unverpackt.de'],,,
Bayern,Kauf’s ohne // Burghausen,Lea Stankowiak,"Berliner Platz 1, Burghausen","Der Fokus des Sortiments liegt auf Lebensmitteln, aber auch plastikfreie Pflegeprodukte wie Zahnpasta oder Toilettenpapier sind im Angebot. Milchprodukte werden im Glaspfandsystem angeboten.",,,,www.instagram.com/kaufs_ohne/
Bayern,Ohnverpackt.,Martina und Bernd Steuer,"Obermarkt 29, Wolfratshausen",Bio-zertifizierter Laden mit mehr als 99 % der Produkte in Bio-Qualität. Darüber hinaus soll das Angebot möglichst von regionalen Produzenten kommen.,['https://ohnverpackt.de/'],,,
Bayern,Freivon – Der Unverpacktladen,"Denise Fischer, Tobias Kleinöder, Klaus Bönisch","Hans-Sachs-Gasse 9, Nürnberg","Im Herzen der Nürnberger Altstadt mit einer großen Auswahl an regionalen, fairen und auch veganen Lebensmitteln in Bioqualität. Der Café-Bereich lädt zu einer Tasse Kaffee und einem Stück Kuchen ein.",['www.freivonladen.de'],,,
Bayern,einfach leben,Julia Mill,"Hinterdorf 8, Frammersberg","Bei der Auswahl des Sortiments wird nicht nur auf wenig Verpackungsmüll wert gelegt, sondern auch auf kurze Wege, fairen Handel, Bio- und vegane Produkte. Um das Erkennen bestimmter Produkte zu erleichtern, sind sie im Laden mit Symbolen markiert.",['www.einfachleben-unverpackt.de'],,,
Bayern,Viertelkultur e.V.,Adela Zivakovic und Dorothea Wölfel (Vorstand),"Sedanstraße 2, Würzburg","Der Verein hat ein Viersäulen-Konzept auf Basis der Nachfrage im Stadtviertel entwickelt. Das gemeinsame Vereinsziel ist eine liebevolle Anlaufstelle für Gemeinschaft, Kultur und Nachhaltigkeit bestehend aus dem Viertel-Café, einem Laden mit verpackungsfreien und saisonalen Waren, Kulturveranstaltungen und Gemeinschaftsarbeit.",['viertelkultur.de'],,,
Bayern,Bioladen Lebenskunst,Kathi Zanker,"Rindermarkt 11, Freising","Vollstortiment aus unverpackten, regionalen Bio-Lebensmitteln und Naturkosmetik zum Abfüllen.",['bioladen-lebenskunst.de'],,,
Bayern,Fräulein Lose,Lisa Kronpass,"Rindermarkt 11, Freising",Konditoreimeisterin Lisa Kronpass bietet in der kleinen Café-Ecke ihres Unverpacktladens auch selbstgebackenen Kuchen und andere leckere Gebäcke an.,['www.fraeuleinlose.de'],,,
Bayern,Alge Unverpackt,Daniela Arlt und Andrea Lechner,Admiral-Hipper-Straße 7,"Erster verpackungsfreier Bio-Markt im Weilheimer Zentrum mit integriertem Bistro, das ein veganes Speisenangebot frei von Zucker, Tofu, Zusatzstoffen und Geschmacksverstärkern bietet.",['www.alge.de/unverpackt-weilheim'],,,
Bayern,kleegrün – Unverpackt in Fürth,Claudia Schlagenhaufer und Claus Bierling,"Königstraße 44, Fürth",Vegetarisches und veganes Bio-Vollsortiment. Brot und andere Produkte werden gezielt aus kleinen Manufakturen bezogen.,['www.kleegruen.com'],,,
Bayern,Genussfüllerei,Johanna und Laura,"Dr-Boecale-Straße 10, Parsberg","Eine der Inhaberinnen ist gelernte Konditorin, deshalb gibt es auch selbstgebackenes in einem kleinen Kaffeebereich.",['www.genussfüllerei-parsberg.de/'],,,
Berlin,Der Sache wegen,Christiane Sieg,"Lychener Straße 47, Berlin","Das Konzept ist eine Mischung aus verschiedenen Einzelhandelskonzepten wie Unverpackt-Laden, Biomarkt, regionaler Wochenmarkt und Weltladen. Hinzu kommt der Anspruch auf Plastik und Palmöl zu verzichten.",['www.der-sache-wegen.de'],,,
Berlin,Original unverpackt,Milena Glimbovski und Sara Wolf,"Wiener Straße 16, Berlin und Großbeerenstraße 27A, 10965 Berlin",Mit über 80.000 Fans bei Facebook sind die Berliner am bekanntesten. Zudem werden Seminare zur Gründung eigener Zero-Waste-Stores angeboten.,['www.original-unverpackt.de'],,,
Berlin,Frea GmbH,David Johannes Suchy,"Kleine Hamburger Straße 2, Berlin",Frea ist gleichzeitig ein veganes Zero-Waste-Restaurant.,['www.frea.de'],,,
Baden-Württemberg,AnNa Unverpackt,Angela Beyl & Nathalie Alméras,"Hauptstraße 16, Besigheim","Der Laden soll gleichzeitig Veranstaltungs- und Begegnungsort sein, weswegen es einen Mittagstisch, Kaffee, Tee und Gebäck geben wird.",['www.anna-unverpackt.de'],,,
Baden-Württemberg,Unverpackt,"Antonia Wucknitz, gelernte Groß- und Außenhandelskauffrau","Badener-Tor-Straße 13-15, Ettlingen",Zweiter Standort von „Unverpackt“ aus Karlsruhe. Beteiligt sich ebenfalls an der Initiative „Refill“.,['www.unverpackt.de'],,,
